la_code,est_no,urn,name,source_est_type,gias_establishment_type,s41_granted,s41_revoked
886,6046,118993,Helen Allison School,Independent special school,Other independent special school,,01/04/2019
309,6070,102172,Woodstar School,Independent special school,Other independent special school,,01/04/2019
305,7904,131924,Shaftesbury Nash College,Special post-16 institution,Special post 16 institution,,01/02/2019
343,6131,104975,Clarence High School,Independent special school,Other independent special school,,01/12/2018
885,6039,136260,Our Place School,Independent special school,Other independent special school,,01/12/2018
334,6010,135453,The Island Project School,Independent special school,Other independent special school,,01/09/2018
928,6039,,Cambian Potterspury Lodge School,Independent special school,,,01/08/2018
830,6003,136954,High Grange School,Independent special school,Other independent special school,,01/08/2018
825,6035,,Include Buckinghamshire,Independent special school,,,01/08/2018
894,6003,123621,Overley Hall School,Independent special school,Other independent special school,,01/08/2018
830,6024,132120,Pegasus School,Independent special school,Other independent special school,,01/08/2018
666,6042,402100,Amberleigh Residential Therapeutic School,Independent special school,Welsh establishment,,01/04/2018
937,6008,140354,Avon Park School,Independent special school,Other independent special school,,01/04/2018
857,6004,131018,The Shires,Independent special school,Other independent special school,,01/04/2018
371,7907,143527,Hesley Holdings Limited,Special post-16 institution,Special post 16 institution,,01/03/2018
306,6089,131721,Kingsdown Secondary School,Independent special school,Other independent special school,,01/03/2018
212,6405,134145,Park House School,Independent special school,Other independent special school,,01/11/2017
835,6016,,Cambian Purbeck View School,Independent special school,,,01/10/2017
885,7904,,New College Worcester,Special post-16 institution,,,01/08/2017
888,6057,136072,Beacon Reach,Independent special school,Other independent special school,,01/04/2017
352,6045,130386,Cambian Birch House School,Independent special school,Other independent special school,,01/04/2017
359,6009,135557,Cambian Tyldesley School,Independent special school,Other independent special school,,01/04/2017
860,6026,133989,Draycott Moor College,Independent special school,Other independent special school,,01/04/2017
931,6015,141208,LVS Oxford,Independent special school,Other independent special school,,01/04/2017
933,6185,123933,Sedgemoor Manor School,Independent special school,Other independent special school,,01/04/2017
878,7908,,ROC Robert Owen Communities,Special post-16 institution,,,01/04/2017
835,6033,,Cambian The Forum School,Independent special school,,,01/03/2017
896,7900,,iMap Centre,Special post-16 institution,,,01/03/2017
881,6059,135772,Cambian Essex School,Independent special school,Other independent special school,,01/12/2016
916,6004,138881,Cambian Southwick Park School,Independent special school,Other independent special school,,01/12/2016
878,6062,141072,Chelfham Kilworthy House,Independent special school,Other independent special school,,01/12/2016
878,6053,138095,Devon Progressive School,Independent special school,Other independent special school,,01/12/2016
938,6267,135930,LVS Hassocks,Independent special school,Other independent special school,,01/12/2016
857,6005,134938,Wilds Lodge School,Independent special school,Other independent special school,,01/12/2016
357,7904,141312,Works 4 U Support Services (Norman Mackie & Associates Ltd),Special post-16 institution,Special post 16 institution,,01/12/2016
878,7906,132001,Exeter Royal Academy for Deaf Education,Special post-16 institution,Special post 16 institution,,01/08/2016
330,7906,141703,Trinity Specialist College,Special post-16 institution,Special post 16 institution,,01/04/2016
936,7905,,Queen Elizabeth Foundation Brain Injury Centre,Special post-16 institution,,,01/04/2016
803,6009,138563,Aurora Hedgeway School,Independent special school,Other independent special school,,01/12/2015
886,7904,132053,Westgate College,Special post-16 institution,Special post 16 institution,,01/12/2015
893,6017,123619,Mill Hall School,Independent special school,Other independent special school,,01/08/2015
886,6123,135438,Hope View School,Independent special school,Other independent special school,,01/08/2015
935,7012,,Inroads Essex (The Junction),Special post-16 institution,,,01/08/2015
852,6004,116572,The Bridge,Independent special school,Other independent special school,,01/08/2015
878,6039,113616,Quay View School,Independent special school,Other independent special school,,01/04/2015
810,6004,,Horton Education and Care,Independent special school,,,01/04/2015
885,6021,117030,Cambian New Elizabethan School,Independent special school,Other independent special school,,01/12/2014
933,6173,123929,Shapwick School,Independent special school,Other independent special school,,01/12/2014
